"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jan 14 11:12:55 GMT 2024","Sun Jan 14 11:12:55 GMT 2024","0","test","test_gyakorlás","TestHootel","","","test_booking_one_day[hogap65094@zamaneta.com-1234]",""
"passed","Sun Jan 14 11:13:23 GMT 2024","Sun Jan 14 11:13:24 GMT 2024","823","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Sun Jan 14 11:12:54 GMT 2024","Sun Jan 14 11:12:54 GMT 2024","0","test","test_gyakorlás","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Sun Jan 14 11:13:30 GMT 2024","Sun Jan 14 11:13:31 GMT 2024","1060","test","test_hootel","TestHootel","","","test_hotel_list",""
"passed","Sun Jan 14 11:12:47 GMT 2024","Sun Jan 14 11:12:48 GMT 2024","817","test","hootel1_test","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Sun Jan 14 11:13:06 GMT 2024","Sun Jan 14 11:13:11 GMT 2024","5166","test","test_gyakorlás1","TestHootel","","","test_list_task",""
"broken","Sun Jan 14 11:13:20 GMT 2024","Sun Jan 14 11:13:21 GMT 2024","1014","test","test_homework3","TestHootel","","","test_hotel_description",""
"passed","Sun Jan 14 11:13:13 GMT 2024","Sun Jan 14 11:13:18 GMT 2024","4445","test","test_homework3","TestHootel","","","test_checkbox_and_navigation",""
"passed","Sun Jan 14 11:12:53 GMT 2024","Sun Jan 14 11:12:54 GMT 2024","976","test","hotel_test","TestHotel","","","test_booking",""
"passed","Sun Jan 14 11:13:01 GMT 2024","Sun Jan 14 11:13:01 GMT 2024","74","test","test_gyakorlás1","TestHootel","","","test_user_inputs",""
"passed","Sun Jan 14 11:12:50 GMT 2024","Sun Jan 14 11:12:51 GMT 2024","1102","test","hootel1_test","TestHootel","","","test_navigation",""
"passed","Sun Jan 14 11:12:58 GMT 2024","Sun Jan 14 11:12:58 GMT 2024","74","test","test_gyakorlás1","TestHootel","","","test_guest_number_input",""
"passed","Sun Jan 14 11:13:27 GMT 2024","Sun Jan 14 11:13:27 GMT 2024","772","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"broken","Sun Jan 14 11:13:03 GMT 2024","Sun Jan 14 11:13:03 GMT 2024","1","test","test_gyakorlás1","TestHootel","","","test_login_and_logout",""
